index	Unnamed: 0	id	author_id	like_count	quote_count	reply_count	retweet_count	referenced_tweet_id	referenced_tweet_type	text	negative	neutral	positive
432	429	7.222755073544765e+17	26945994.0	1.0	0.0	0.0	0.0			Casting ScarJo as Motoko Kusenagi in the #GhostInTheShellMovie Hollywood shows it only cares about business, not fans	0.7291	0.256	0.0149
69	69	9.248717489101783e+17	107077404.0	0.0	0.0	0.0	0.0			Late night #sketch. #ghostintheshell #geisha #cyborg #robot #anime #ghostintheshellmovie… https://t.co/O7VFNSurJg	0.0081	0.9256	0.0663
329	326	8.000434749303316e+17	37934150.0	0.0	0.0	0.0	0.0			It looks good, hoping it's not a screw up. I have hopes for this one.#GhostInTheShellMovie          https://t.co/PcVbRPmH5B	0.0073	0.0383	0.9544
109	109	8.737355258191954e+17	39002729.0	1.0	0.0	1.0	0.0			Watching #GhostInTheShellMovie and it is SOOOOOOOOOOOOOO boring!	0.9467	0.0456	0.0077
511	508	7.207687556728136e+17	996302996.0	0.0	0.0	0.0	0.0	7.207635660690391e+17	replied_to	@JasonRoseEh I know right? Silly Asians think they're people and deserve representation! Ha! #GhostInTheShellMovie	0.7677	0.1835	0.0488
341	338	7.979200123924808e+17	2865914783.0	0.0	0.0	0.0	0.0			"ghost in the shell movie #ghost #in #the #shell #movie #ghostintheshellmovie.

Time Post: Mon Nov 14 04:50:37 ICT … https://t.co/rHT2VNQKIN"	0.0179	0.916	0.0661
286	283	8.35489874983678e+17	124040168.0	0.0	0.0	0.0	2.0	8.353822265063055e+17	retweeted	"RT @teasertrailer: Ghost in the Shell - poster --&gt; https://t.co/bE5tA1nsuo

#GhostInTheShell #GhostInTheShellMovie #ScarlettJohansson https…"	0.004	0.9096	0.0863
545	542	7.207074343697162e+17	363885058.0	0.0	0.0	0.0	0.0			Oh my gosh! #MotokoKusanagi #GhostInTheShellMovie https://t.co/zYCG4E6HWt	0.0101	0.1088	0.8812
196	196	8.478402292308828e+17	61539664.0	0.0	0.0	0.0	0.0			#ghostintheshellmovie was good. Not the '95 anime, but still good. Give it a go. #doit	0.0045	0.0217	0.9739
449	446	7.210130044692767e+17	15592889.0	0.0	0.0	0.0	3.0	7.207650242186486e+17	retweeted	RT @ChinHuaLu: Cute hair, but still doesn't make Scarlett Johansson magically Japanese. #GhostInTheShellMovie https://t.co/u9lDAA71W7	0.2694	0.5919	0.1387
307	304	8.283849226247864e+17	29321298.0	0.0	0.0	0.0	0.0			Well that's an attention grabber. #GhostInTheShellMovie	0.8871	0.1031	0.0098
465	462	7.208390114183168e+17	119294048.0	1.0	0.0	0.0	0.0			So they're making a #GhostInTheShellMovie and it's starring Scarlett Johanssan as Kusanagi/Major 😑 YYYYYYY!?	0.7758	0.2051	0.0191
155	155	8.493523205635236e+17	2950562337.0	0.0	0.0	0.0	0.0			"Ghost in the shell
.
.
.
#ghostintheshell #ghostintheshellmovie #anime #bodypaint #bodypainter… https://t.co/ZpZDrs0vs5"	0.035	0.8594	0.1056
225	225	8.465649080575713e+17	2402181180.0	2.0	0.0	0.0	0.0			"Just saw a #GhostintheShellMovie blurb that said: ""This movie has it all!"".

....EXCEPT asian actors in any role of note.
No thanks."	0.4616	0.4113	0.1271
195	195	8.4784954314829e+17	3434019887.0	0.0	0.0	0.0	0.0			#news Review: In ‘Ghost in the Shell,’ a Cyborg With Soul #Movies #GhostintheShellMovie https://t.co/daezEJNeRH https://t.co/m87i1SfMxu	0.0106	0.9134	0.076
271	268	8.411033756976005e+17	227651655.0	1.0	0.0	1.0	0.0			There is no fucking explanation​ they could give why they couldn't have done her hair the correct fucking colour! #ghostintheshellmovie	0.9434	0.0509	0.0057
28	28	1.3272731383637852e+18	1.0273825743799378e+18	0.0	0.0	0.0	0.0			Matt’s Recommendation : #GhostintheShellmovie (#ScarlettJohansson) https://t.co/oQfGL59SO2	0.0051	0.8673	0.1275
396	393	7.790264929866916e+17	48714547.0	0.0	0.0	0.0	5.0	7.790255252054139e+17	retweeted	"RT @ComicBook_Movie: '@Scarlett_Jo''s Major Takes Aim In Two More Teasers For #ghostintheshellmovie 
https://t.co/4Dh0Spkt7E https://t.co/b…"	0.0059	0.8467	0.1474
215	215	8.472876331599626e+17	161239380.0	0.0	0.0	0.0	1.0			Movie premiere !!! Wow !! 🙂 #ghostintheshell #ghostintheshellmovie #enfin #finally… https://t.co/sDZXNrcVXk	0.0014	0.0116	0.9871
268	265	8.421927834819666e+17	734245842.0	0.0	0.0	0.0	0.0			I entered into @wearemoviegeeks contest to try to win advance screening tickets for #GhostintheShellMovie I hope I win!	0.0024	0.1012	0.8964
389	386	7.790365531926364e+17	280087716.0	0.0	0.0	0.0	1.0	7.790364960158188e+17	retweeted	RT @lastwordonearth: Ghost goes viral - Scarlett goes dark @ https://t.co/32FSpBCKMo #ghostintheshellmovie https://t.co/xtuGpHAfwF	0.009	0.8837	0.1073
559	556	6.6515734770722e+17	2364902544.0	0.0	0.0	0.0	21.0	6.64287694013395e+17	retweeted	RT @AtomicMari: At the @FUNimation #GhostInTheShellMovie Premiere w/ @TimsChannel &amp; @PeterKitch! Make sure to catch it in theaters👍 https:/…	0.002	0.3062	0.6919
563	560	6.646197436016312e+17	269094804.0	0.0	0.0	0.0	14.0	6.64555863277867e+17	retweeted	RT @SteveTerada: The #ghostintheshellmovie premiere! Support anime in theaters! TY @karriebearr for inviting us! @funimation #otaku https:/…	0.0018	0.0269	0.9713
411	408	7.787812538813358e+17	15301490.0	2.0	0.0	0.0	0.0			Can someone please freak out with me over this lol. #GhostInTheShellMovie #MrRobotfinale	0.6692	0.2734	0.0574
539	536	7.207477299078881e+17	219597106.0	0.0	0.0	0.0	4.0	7.207186895452447e+17	retweeted	RT @Krosecz: Producers ACTUALLY believe you won't go see a movie if it has a non-white star. That's a real belief they hold. #GhostInTheShe…	0.6899	0.2881	0.0221
337	334	7.979323493129462e+17	7.891104118868541e+17	0.0	0.0	0.0	0.0			"ghost in the shell movie #ghost #in #the #shell #movie #ghostintheshellmovie.

Time Post: Mon Nov 14 05:39:59 ICT … https://t.co/YAt3yzkDYI"	0.018	0.9133	0.0687
78	78	8.931460234424893e+17	396987467.0	0.0	0.0	0.0	0.0			https://t.co/mzReICDd2R How Not To Adapt A Movie #GhostInThe Shell #GhostInTheshellmovie https://t.co/W2ENnxlnPV	0.3408	0.6361	0.0231
169	169	8.487471674435584e+17	762691477.0	1.0	0.0	0.0	2.0			"""Ghost In The Shell"" Review is here!
#ghostintheshell
#ghostintheshellmovie
@Scarlett_Jo https://t.co/Eee2ain3Ry"	0.0069	0.543	0.4501
386	383	7.790390389552906e+17	161548445.0	1.0	0.0	0.0	2.0			That #GhostInTheShellMovie teaser trailer was poorly executed. Someone clearly didn't know how to properly do a teaser. Smh	0.9376	0.0558	0.0066
469	466	7.207995044259922e+17	222680234.0	0.0	0.0	0.0	45.0	7.207610006354207e+17	retweeted	RT @originalspin: Hey #GhostInTheShellMovie producers: Asian isn't just a hairstyle. https://t.co/LBcvjdvkka	0.0211	0.8199	0.159
599	596	6.642877776268534e+17	72980276.0	0.0	0.0	0.0	4.0	6.642870937455452e+17	retweeted	RT @MollyMcIsaac: At the #ghostintheshellmovie premiere courtesy of @FUNimation with my nerd crew! https://t.co/lqvFINAGF9	0.0027	0.5368	0.4606
520	517	7.207655267383542e+17	32475347.0	0.0	0.0	0.0	0.0			It's actually not that hard to have an Asian actress be in the lead role of #GhostInTheShellMovie it happens all the time.	0.0393	0.5304	0.4303
84	84	8.916786750364918e+17	2282693947.0	1.0	0.0	0.0	0.0			Severely underrated adaptation. #ghostintheshellmovie #scifimovies #anime #scarlettjohansson… https://t.co/UBDb5CkzKi	0.5144	0.3751	0.1105
77	77	8.932702942819e+17	2378844505.0	0.0	0.0	0.0	0.0			Reality of why we need #diversity! #parents #mom #kids #asian #ghostintheshellmovie #animenorth #equality #dreams https://t.co/kd2OfNw6l4	0.0181	0.4165	0.5654
619	616	5.682456670862131e+17	24080665.0	0.0	0.0	0.0	0.0			How is Scar-Jo cast as Major Kusanagi when Rinko Kikuchi is an actress who is alive? My mind is thoroughly boggled #ghostintheshellmovie	0.5613	0.4097	0.0291
283	280	8.371107752483758e+17	14201787.0	1.0	0.0	0.0	1.0			"Ghost in the Shell - clip --&gt; https://t.co/IDfVw9Ov77

#GhostInTheShell #GhostInTheShellMovie #ScarlettJohansoon #TakeshiKitano #PilouAsbaek https://t.co/tiLoLaKagZ"	0.0067	0.9382	0.0551
151	151	8.49524616431358e+17	817804986.0	2.0	0.0	1.0	0.0			Oldie but goodie! Very appropriate with the upcoming film- is anyone going to see this? Jo #ghostintheshell #ps1 #ghostintheshellmovie https://t.co/Rx2ew4botH	0.0025	0.0763	0.9212
242	242	8.444416211271844e+17	14201787.0	2.0	0.0	0.0	1.0			"Ghost in the Shell - Making of -&gt; https://t.co/bE5tA1F3SY

#GhostInTheShell #GhostInTheShellMovie #MakingOf https://t.co/s0EXwr06Pf"	0.0069	0.8936	0.0995
627	624	5.522204456895447e+17	612711815.0	0.0	0.0	0.0	0.0			OMFG Scarlett Johansson is gonna be in #Ghostintheshellmovie #YES	0.0028	0.0336	0.9636
380	377	7.790468999239516e+17	1221932294.0	0.0	0.0	0.0	0.0			#ghostintheshellmovie Teaser https://t.co/N3eC3lUeMf	0.0164	0.9156	0.068
573	570	6.646138084013466e+17	17444764.0	0.0	0.0	0.0	14.0	6.64555863277867e+17	retweeted	RT @SteveTerada: The #ghostintheshellmovie premiere! Support anime in theaters! TY @karriebearr for inviting us! @funimation #otaku https:/…	0.0018	0.0269	0.9713
512	509	7.207687458918277e+17	977110862.0	0.0	0.0	0.0	0.0			What in the .....😟 #GhostInTheShellMovie https://t.co/iU9soiOdbB	0.8681	0.1223	0.0097
533	530	7.207585354334044e+17	1042497324.0	1.0	0.0	2.0	0.0			Only in USA can a character named Motoko of the Japanese National Public Safety Commission be played by a White woman #GhostInTheShellMovie	0.2441	0.7206	0.0352
