Unnamed: 0.1	Unnamed: 0	id	author_id	like_count	quote_count	reply_count	retweet_count	referenced_tweet_id	referenced_tweet_type	text	negative	neutral	positive
436	16	5.1681269045540045e+17	2769211068.0	0.0	0.0	0.0	0.0			I feel like me and @LeoDiCaprio  would be homies in the turn up.  I'd let that nigga blow Vicks in my eyes. #nohomo #WolfofWallstreet	0.0562	0.187	0.7569
437	17	5.1681246782633984e+17	1126331382.0	0.0	0.0	0.0	0.0			New #quote : Effing put in work , to dust your dreams into reality  #wolfofwallstreet by r_syed http://t.co/Bql5Dwo46E	0.0296	0.602	0.3684
438	18	5.168015867070628e+17	603077991.0	2.0	0.0	0.0	0.0			#WolfOfWallStreet is still that movie 💵💵💵💵💵💵💵💵💵	0.0528	0.2696	0.6776
439	19	5.167970736401449e+17	865625318.0	0.0	0.0	0.0	0.0			I love leo so much #wolfofwallstreet	0.0029	0.013	0.9841
440	20	5.1678312020116685e+17	16816250.0	0.0	0.0	0.0	1.0	5.167530283390853e+17	retweeted	RT @CarrieShubert: Unlike #wolfofwallstreet my ex got away w/millions #strongwomen #scandal  #Livinglifepurposefully IN THE WAKE OF LIES ht…	0.5332	0.4136	0.0532
441	21	5.167685343668142e+17	1429623768.0	0.0	0.0	0.0	0.0			matthew mcconaughey in #WolfOfWallStreet is fucking priceless for as small a role he played.	0.0227	0.0649	0.9123
442	22	5.16757428830892e+17	76243927.0	0.0	0.0	0.0	2.0	5.167100514832425e+17	retweeted	RT @joiecalio: #7Horse thank u #KennyWayneShepherd #WhiskyMyers #7HorseFans #TheJudge #WolfofWallStreet #MethLabZosoSticker #KeithRichards …	0.0111	0.4045	0.5844
443	23	5.167530283390853e+17	1538896098.0	0.0	0.0	0.0	1.0			Unlike #wolfofwallstreet my ex got away w/millions #strongwomen #scandal  #Livinglifepurposefully IN THE WAKE OF LIES http://t.co/QSjqBosWPQ	0.5611	0.3736	0.0653
444	24	5.167472311440671e+17	464068335.0	0.0	0.0	0.0	0.0			I like the Indian cheer the Chiefs do before their game. Ideas?? #wolfofwallstreet	0.0089	0.1926	0.7985
445	25	5.167152451808174e+17	2716500614.0	0.0	0.0	0.0	2.0	5.167100514832425e+17	retweeted	RT @joiecalio: #7Horse thank u #KennyWayneShepherd #WhiskyMyers #7HorseFans #TheJudge #WolfofWallStreet #MethLabZosoSticker #KeithRichards …	0.0111	0.4045	0.5844
446	26	5.167100514832425e+17	19687928.0	2.0	0.0	0.0	2.0			#7Horse thank u #KennyWayneShepherd #WhiskyMyers #7HorseFans #TheJudge #WolfofWallStreet #MethLabZosoSticker #KeithRichards #RedWine #RxMJ	0.0094	0.2137	0.7769
447	27	5.167077246175888e+17	346309868.0	0.0	0.0	0.0	1.0	5.162987857951048e+17	retweeted	RT @TatumN4: ON NEW ISSUE DAY, THIS IS WHAT YOU DO ON NEW ISSUE DAY!  #wolfofwallstreet	0.0067	0.733	0.2603
