index	Unnamed: 0.2	Unnamed: 0.1	Unnamed: 0	id	author_id	like_count	quote_count	reply_count	retweet_count	referenced_tweet_id	referenced_tweet_type	text	negative	neutral	positive	date
4267	1143	1143	1143	4.177080026749993e+17	48743445.0	2.0	0.0	0.0	3.0			A Letter to the Real #WolfofWallStreet http://t.co/y0J5q5ZSzp	0.0265	0.8962	0.0773	2013-12-30
86452	1082	1082	1080	4.956420165048812e+17	291899452.0	0.0	0.0	0.0	0.0			Movie night with the old man #wolfofwallstreet	0.0089	0.663	0.3281	0.0
19344	4718	4718	4718	4.27524436812501e+17	286866734.0	1.0	0.0	0.0	0.0			The duchess of bay ridge aka Margot Robbie is the perfect women #flawless #wolfofwallstreet http://t.co/fgei5Mqkik	0.0056	0.0288	0.9656	2014-01-26
68561	12151	12151	12144	4.402574675584164e+17	91517280.0	2.0	0.0	1.0	1.0			Photo: Hope tonight is your night Leo! #wolfofwallstreet #oscars @leonardodicaprio_ #leonardodicaprio... http://t.co/IQqEs6dms8	0.0022	0.0403	0.9575	2014-03-02
16790	2164	2164	2164	4.284964263398195e+17	293903472.0	0.0	0.0	0.0	0.0			How am I feeling? THIS. #wolfofwallstreet #LeonardoDiCaprio #ludes #fuckthisnoise http://t.co/1Buf7LWH9C	0.759	0.2052	0.0358	2014-01-29
28294	13668	13668	13663	4.254041759636726e+17	260277467.0	0.0	0.0	0.0	0.0			#12yearsaslave hands down best picture this year - #americanhustle &amp; #wolfofwallstreet are no comparison.  #comeatmebro	0.0058	0.0235	0.9707	2014-01-20
24532	9906	9906	9901	4.261474227889111e+17	200637382.0	0.0	0.0	0.0	10.0	4.261465808369377e+17	retweeted	RT @samuelj29060: Beforehand, some said it was on for too long (3 hours). Wrong. I could have watched for another hour. #wolfofwallstreet	0.5022	0.4291	0.0687	2014-01-23
83205	124	124	124	4.943813397861089e+17	42763519.0	0.0	0.0	0.0	0.0			"@Sallybsportbar My new all genre club mix💃#walkinfuckshitup with a #messiahpro INTRO from the film #wolfofwallstreet
http://t.co/RrAwP9JOPb"	0.0084	0.3039	0.6877	2014-07-30
6869	3745	3745	3745	4.168401263128904e+17	164202905.0	1.0	0.0	0.0	0.0	4.167946990607483e+17	replied_to	@OriginalNixster the best part of #wolfofwallstreet is Boiler Room.	0.0032	0.0236	0.9732	2013-12-28
65243	8833	8833	8828	4.403906178650235e+17	723966804.0	0.0	0.0	0.0	0.0	4.4035724888835686e+17	replied_to	@hassaan_matters i was really rooting for the guy to win the oscar after all all he deserves it #Wolfy #WolfofWallStreet	0.0055	0.0537	0.9409	2014-03-03
42775	28149	28149	28141	4.233023386111222e+17	483351353.0	0.0	0.0	0.0	0.0			@JonahHill and @LeoDiCaprio killed it in #WolfOfWallStreet !! Great performances and amazing story. Right on, boys! #fantastic #drugsnmoney	0.0038	0.0101	0.986	2014-01-15
14316	11192	11192	11192	4.078087927099638e+17	48454671.0	0.0	0.0	0.0	0.0			69:1 - ratio (in minutes) of sex/nudity to drama/story in #WolfOfWallStreet	0.0689	0.8918	0.0393	2013-12-03
45068	172	172	172	4.3942277953265664e+17	342128492.0	0.0	0.0	0.0	0.0			#wolfofwallstreet is like an alternate universe of #gatsby where he didnt chase after his past and kept getting hella rich	0.1537	0.6156	0.2307	2014-02-28
4434	1310	1310	1310	4.176502976834683e+17	253954849.0	0.0	0.0	0.0	1.0	4.176497038161388e+17	retweeted	RT @kanika_n: @PicturesPVR #WolfOfWallStreet  #MoreIsNeverEnough Coffee.. The only thing that makes my day .. Can't live without it ..	0.0115	0.0705	0.918	2013-12-30
42117	27491	27491	27483	4.235313105654538e+17	131209184.0	0.0	0.0	2.0	0.0			Great seats! Thanks @MaryseFitz Can't wait to see it #wolfofwallstreet	0.0022	0.0097	0.9882	2014-01-15
35501	20875	20875	20870	4.243024390520832e+17	21181369.0	2.0	0.0	0.0	1.0			#wolfofwallstreet bloomin brilliant 9.5 / 10	0.0032	0.0141	0.9827	2014-01-17
58308	1898	1898	1896	4.493592880087245e+17	378788914.0	0.0	0.0	0.0	48231.0	4.191983750539018e+17	retweeted	RT @justinbieber: movies to see this weekend. #BelieveMovie and #wolfofwallstreet.	0.003	0.5782	0.4188	0.0
11537	8413	8413	8413	4.156662578960261e+17	481456052.0	0.0	0.0	0.0	0.0			Watch The Wolf of Wall Street Leonardo DiCaprio Clip - Official Martin Scorsese Movie 2013 hd http://t.co/JX6UJbrlPP #WolfOfWallStreet	0.0042	0.8689	0.1269	2013-12-25
