,Unnamed: 0.1,Unnamed: 0,id,author_id,like_count,quote_count,reply_count,retweet_count,referenced_tweet_id,referenced_tweet_type,text
763,763,763,1437301640084656130,785364900272939008,0,0,0,34,1.437248514392826e+18,retweeted,"RT @MTVNEWS: .@chloexhalle are our favorite sister duo! On the #VMAs red carpet with @Dometi_, @HalleBailey gushed over @ChloeBailey's new…"
764,764,764,1437300055678111744,2946437667,0,0,0,1327,1.4364371249291756e+18,retweeted,"RT @FilmUpdates: #TheLittleMermaid starring Halle Bailey and Jonah Hauer-King will be released in theaters on May 26, 2023. https://t.co/ue…"
765,765,765,1437295559451234304,312223843,7,0,1,0,,,The way I cannot wait to watch #TheLittleMermaid 😌🥰🥰🥰 https://t.co/0AqS82VATF
766,766,766,1437292046528569346,1356654446122471426,0,0,0,15,1.4364372195065403e+18,retweeted,RT @Luiz_Fernando_J: #Disney is on fire today with more updates. The anticipated live-action #TheLittleMermaid got its official release dat…
767,767,767,1437289848805675009,1217144322,0,0,0,34,1.437248514392826e+18,retweeted,"RT @MTVNEWS: .@chloexhalle are our favorite sister duo! On the #VMAs red carpet with @Dometi_, @HalleBailey gushed over @ChloeBailey's new…"
768,768,768,1437285731408490498,1112488130823757825,0,0,0,34,1.437248514392826e+18,retweeted,"RT @MTVNEWS: .@chloexhalle are our favorite sister duo! On the #VMAs red carpet with @Dometi_, @HalleBailey gushed over @ChloeBailey's new…"
769,769,769,1437285395952291849,1431893959299772416,0,0,0,0,,,"Odd mash-up, but I dig it. 😱 🔪 🐠 #Scream #TheLittleMermaid https://t.co/6EEg5HfQAv"
770,770,770,1437282910529273858,2485400866,0,0,0,1327,1.4364371249291756e+18,retweeted,"RT @FilmUpdates: #TheLittleMermaid starring Halle Bailey and Jonah Hauer-King will be released in theaters on May 26, 2023. https://t.co/ue…"
771,771,771,1437279742533640193,726765770928082946,0,0,0,20,1.4366781830011494e+18,retweeted,"RT @THR: Disney announced new release dates for many of their titles, including: 

#NightmareAlley - Dec. 17, 2021
The #BobsBurgers Movie -…"
772,772,772,1437275589552005124,892504657246990336,0,0,0,1327,1.4364371249291756e+18,retweeted,"RT @FilmUpdates: #TheLittleMermaid starring Halle Bailey and Jonah Hauer-King will be released in theaters on May 26, 2023. https://t.co/ue…"
773,773,773,1437272318515060736,1432876862192209921,0,0,0,1327,1.4364371249291756e+18,retweeted,"RT @FilmUpdates: #TheLittleMermaid starring Halle Bailey and Jonah Hauer-King will be released in theaters on May 26, 2023. https://t.co/ue…"
774,774,774,1437270672921743361,206092539,0,0,0,34,1.437248514392826e+18,retweeted,"RT @MTVNEWS: .@chloexhalle are our favorite sister duo! On the #VMAs red carpet with @Dometi_, @HalleBailey gushed over @ChloeBailey's new…"
775,775,775,1437270148981956609,308176337,0,0,0,34,1.437248514392826e+18,retweeted,"RT @MTVNEWS: .@chloexhalle are our favorite sister duo! On the #VMAs red carpet with @Dometi_, @HalleBailey gushed over @ChloeBailey's new…"
776,776,776,1437267192660123655,948115533299200001,0,0,0,34,1.437248514392826e+18,retweeted,"RT @MTVNEWS: .@chloexhalle are our favorite sister duo! On the #VMAs red carpet with @Dometi_, @HalleBailey gushed over @ChloeBailey's new…"
777,777,777,1437267184279973890,951424135736975360,0,0,0,34,1.437248514392826e+18,retweeted,"RT @MTVNEWS: .@chloexhalle are our favorite sister duo! On the #VMAs red carpet with @Dometi_, @HalleBailey gushed over @ChloeBailey's new…"
778,778,778,1437266984505331716,983948898,0,0,0,34,1.437248514392826e+18,retweeted,"RT @MTVNEWS: .@chloexhalle are our favorite sister duo! On the #VMAs red carpet with @Dometi_, @HalleBailey gushed over @ChloeBailey's new…"
779,779,779,1437265934771793920,95313738,0,0,0,34,1.437248514392826e+18,retweeted,"RT @MTVNEWS: .@chloexhalle are our favorite sister duo! On the #VMAs red carpet with @Dometi_, @HalleBailey gushed over @ChloeBailey's new…"
780,780,780,1437264777202606081,25074714,0,0,0,0,,,"Calling all @Disney fans, here's some good news for you! - @jayed105 #TheLittleMermaid https://t.co/5Y02RXO4Ho"
781,781,781,1437261962136727552,1409704894144073733,0,0,0,0,,,@HalleBailey you were the best presenter tonight hands down. Now when y’all gonna present #TheLittleMermaid trailer cause a bitch getting anxious… https://t.co/i7mHbVsrTF
782,782,782,1437256519503040512,2968320460,0,0,0,34,1.437248514392826e+18,retweeted,"RT @MTVNEWS: .@chloexhalle are our favorite sister duo! On the #VMAs red carpet with @Dometi_, @HalleBailey gushed over @ChloeBailey's new…"
783,783,783,1437255536811073539,1041485974683869184,0,0,0,34,1.437248514392826e+18,retweeted,"RT @MTVNEWS: .@chloexhalle are our favorite sister duo! On the #VMAs red carpet with @Dometi_, @HalleBailey gushed over @ChloeBailey's new…"
784,784,784,1437253059571294213,1035304871241637888,0,0,0,34,1.437248514392826e+18,retweeted,"RT @MTVNEWS: .@chloexhalle are our favorite sister duo! On the #VMAs red carpet with @Dometi_, @HalleBailey gushed over @ChloeBailey's new…"
785,785,785,1437251785371049984,860381796,0,0,0,34,1.437248514392826e+18,retweeted,"RT @MTVNEWS: .@chloexhalle are our favorite sister duo! On the #VMAs red carpet with @Dometi_, @HalleBailey gushed over @ChloeBailey's new…"
786,786,786,1437251631498792960,218125532,0,0,0,34,1.437248514392826e+18,retweeted,"RT @MTVNEWS: .@chloexhalle are our favorite sister duo! On the #VMAs red carpet with @Dometi_, @HalleBailey gushed over @ChloeBailey's new…"
787,787,787,1437250985139838979,1222418359075188736,0,0,0,34,1.437248514392826e+18,retweeted,"RT @MTVNEWS: .@chloexhalle are our favorite sister duo! On the #VMAs red carpet with @Dometi_, @HalleBailey gushed over @ChloeBailey's new…"
788,788,788,1437250651080249345,33673211,0,0,0,34,1.437248514392826e+18,retweeted,"RT @MTVNEWS: .@chloexhalle are our favorite sister duo! On the #VMAs red carpet with @Dometi_, @HalleBailey gushed over @ChloeBailey's new…"
789,789,789,1437250348796817418,1280441301843001345,0,0,0,34,1.437248514392826e+18,retweeted,"RT @MTVNEWS: .@chloexhalle are our favorite sister duo! On the #VMAs red carpet with @Dometi_, @HalleBailey gushed over @ChloeBailey's new…"
790,790,790,1437250127048159234,1397825899156885504,0,0,0,34,1.437248514392826e+18,retweeted,"RT @MTVNEWS: .@chloexhalle are our favorite sister duo! On the #VMAs red carpet with @Dometi_, @HalleBailey gushed over @ChloeBailey's new…"
791,791,791,1437249863385759746,317736870,0,0,0,1,1.4372044704972186e+18,retweeted,"RT @BingoStoryGame: 📣 SPLISH SPLASH

Oops, forgot to put our 🧜‍♀️ translator on… 

📣 LAST CALL… that’s better

Only a few days to 💦SPLASH 💦…"
792,792,792,1437249478013165570,1085020259218804737,0,0,0,34,1.437248514392826e+18,retweeted,"RT @MTVNEWS: .@chloexhalle are our favorite sister duo! On the #VMAs red carpet with @Dometi_, @HalleBailey gushed over @ChloeBailey's new…"
793,793,793,1437249169467584516,252903494,0,0,0,34,1.437248514392826e+18,retweeted,"RT @MTVNEWS: .@chloexhalle are our favorite sister duo! On the #VMAs red carpet with @Dometi_, @HalleBailey gushed over @ChloeBailey's new…"
794,794,794,1437248514392825862,40076725,160,4,4,34,,,".@chloexhalle are our favorite sister duo! On the #VMAs red carpet with @Dometi_, @HalleBailey gushed over @ChloeBailey's new single #HaveMercy, and Chloe hyped up her sister's performance in the upcoming #TheLittleMermaid: ""It's gonna be beautiful, I promise"" ❤️ https://t.co/MZjPcqG1En"
795,795,795,1437244865960718336,1399978230476591108,0,0,0,1327,1.4364371249291756e+18,retweeted,"RT @FilmUpdates: #TheLittleMermaid starring Halle Bailey and Jonah Hauer-King will be released in theaters on May 26, 2023. https://t.co/ue…"
796,796,796,1437243176042049537,1413401793158164481,0,0,0,0,,,"I'm enjoying #havemercy @ChloeBailey, when do we get #TheLittleMermaid @HalleBailey?"
797,797,797,1437241261677756416,1437230353274527748,0,0,0,1327,1.4364371249291756e+18,retweeted,"RT @FilmUpdates: #TheLittleMermaid starring Halle Bailey and Jonah Hauer-King will be released in theaters on May 26, 2023. https://t.co/ue…"
798,798,798,1437240085552898054,222307811,1,0,0,0,,,"Seriously @Disney, if you didn’t cast her as Human Ursula, you better go back and reshoot those scenes! It would be the greatest surprise and twist. #TheLittleMermaid @chloexhalle https://t.co/PXTbO5sfU7"
799,799,799,1437236748573085698,1016799412788621313,0,0,0,9,1.4181327551463178e+18,retweeted,"RT @ArtsKanda: A commission done for a great friend of mind from tumblr! He runs the blog: https://t.co/MZ5oE15PfR

Char belongs to me

#Ka…"
800,800,800,1437232750621253634,883896995127189504,2,0,0,0,,,Has a follow-up to The Little Mermaid movie starring Halle Bailey already been greenlit by Disney? 🧜🏻‍♀️🧜🏻‍♀️🧜🏻‍♀️ #TheLittleMermaid #Disney https://t.co/bT6DoQ9Xls
801,801,801,1437228629734342656,1430330785995837447,2,0,0,0,,,Of course I’m going to watch #TheLittleMermaid after pretending to be one all morning and afternoon! Seems like a fitting end for the day.
802,802,802,1437206459717140482,987197199183310848,0,0,0,1,1.4372045984234455e+18,retweeted,"RT @itsFG26: Ariel_The Little Mermaid, by Douglas Francelino Bicalho 
Ariel_La Sirenita, de Douglas Francelino Bicalho 

DeviantArt: Dougla…"
803,803,803,1437204598423445508,739140527925383168,4,0,0,1,,,"Ariel_The Little Mermaid, by Douglas Francelino Bicalho 
Ariel_La Sirenita, de Douglas Francelino Bicalho 

DeviantArt: Douglas-Bicalho 
Instagram: @douglas_bicalho 

#Arte #Art #Ariel #LaSirenita #TheLittleMermaid #アート #アリエル #リトル・マーメイド https://t.co/n1t3gtkxXt"
